0 0   0.563585 0.808741 
29 17   -0.622634 0.72828 
29 18   -0.622916 0.728415 
29 19   -0.63154 0.733516 
29 20   -0.736368 0.55917 
29 21   -0.911959 0.328401 
29 22   -0.912343 0.328397 
29 23   -0.923421 0.403327 
29 24   -0.917868 0.472221 
29 25   -0.917887 0.472221 
29 26   -0.92236 0.526945 
29 27   -0.919549 0.541483 
29 28   -0.919654 0.542177 
29 29   -0.91969 0.542137 
